Datetime,open,high,low,close,volume
2026-03-12 09:15:00+05:30,23686.599609375,23686.599609375,23557.849609375,23603.349609375,0
2026-03-12 09:30:00+05:30,23600.44921875,23619.599609375,23569.400390625,23602.650390625,0
2026-03-12 09:45:00+05:30,23606.19921875,23696.30078125,23595.05078125,23693.80078125,0
2026-03-12 10:00:00+05:30,23695.400390625,23696.349609375,23605.349609375,23610.150390625,0
2026-03-12 10:15:00+05:30,23610.5,23681.55078125,23589.900390625,23666.650390625,0
2026-03-12 10:30:00+05:30,23666.349609375,23719.80078125,23632.349609375,23692.69921875,0
2026-03-12 10:45:00+05:30,23693.400390625,23741.599609375,23669.30078125,23740.900390625,0
2026-03-12 11:00:00+05:30,23741.599609375,23773.650390625,23733.94921875,23741.05078125,0
2026-03-12 11:15:00+05:30,23741.75,23756.650390625,23665.0,23703.30078125,0
2026-03-12 11:30:00+05:30,23704.19921875,23718.25,23676.599609375,23711.349609375,0
2026-03-12 11:45:00+05:30,23712.44921875,23742.19921875,23688.099609375,23739.849609375,0
2026-03-12 12:00:00+05:30,23739.44921875,23750.650390625,23710.5,23749.349609375,0
2026-03-12 12:15:00+05:30,23751.150390625,23759.19921875,23721.80078125,23744.099609375,0
2026-03-12 12:30:00+05:30,23744.400390625,23747.599609375,23702.30078125,23715.80078125,0
2026-03-12 12:45:00+05:30,23716.69921875,23731.25,23700.80078125,23717.0,0
2026-03-12 13:00:00+05:30,23717.849609375,23722.400390625,23656.400390625,23715.25,0
2026-03-12 13:15:00+05:30,23718.30078125,23767.94921875,23695.80078125,23764.30078125,0
2026-03-12 13:30:00+05:30,23765.25,23832.650390625,23764.69921875,23789.900390625,0
2026-03-12 13:45:00+05:30,23789.349609375,23801.25,23738.599609375,23738.599609375,0
2026-03-12 14:00:00+05:30,23740.55078125,23769.849609375,23733.5,23769.849609375,0
